diam[nm],	phi	charge	MeanR[nm]	U(<r>)	U(r_FCC)	2pi/MeanR	Salt[然]	T[K]	Eps.	Lb[nm]	kappa[1/nm]	q_max[1/nm]	Sq_max	r_max[nm]	gr_max	S(0)	Contact_value	alpha	dr[diam]	U(rm)	r_dip[nm]	Nn	gr_dip	lambda	T~
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	5e-4	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.00101434672792838	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.00205779856891804	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.00417464249023545	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.00846906990048226	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.0171811466843019	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.0348552798425585	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.0707106781186547	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.143450289958509	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
20	0.15	2000	   30.33885	 1.864E-03	 1.415E-05	   0.2071003	0.291016664479583	293.16	36.7	 1.553859	 1.282E+00	 2.485E-01	 1.588E+00	 2.742E+01	 2.118E+00	 8.157E-02	 0.000E+00	 2.231E-01	0.03033885	 8.648E-02	 4.2686E+01	 1.093E+01	 8.3272E-01	 3.891E+01	 5.362E+02
